Objeto,PN G,Status,Clasif,MorphHASH,Periodo,Log 10 Periodo,Datos?,2Vexp H alpha,2Vexp [O III],2Vexp [N II],2Vexp,Vexp Ha,Vexp [O III],Vexp [N II],Vexp,HeII,jets,Vjet,ring
Kn 26,084.6-07.9,True,post-CE binary PNe (108),Bipolar,0.049,-1.30980391997,0.0,,,,,,,,,Yes ,No,,No
V 458 Vul,058.6-03.6,True,post-CE binary PNe (108),Bipolar,0.068,-1.16749,0.0,,,,,,,,,NoD,No,,No
MPA J0705-1224,225.5-02.5,Candidate,post-CE binary PNe (108),Elliptical/Oval,0.092,-1.03621217265444,0.0,,,,,,,,,No,No,,No
Terz N19,359.8+05.2,True,post-CE binary PNe (108),Bipolar,0.095,-1.02228,0.0,,,,,,,,,No,No,,No
PHR J1847+0132,033.8+01.5,True,post-CE binary PNe (108),Bipolar,0.1267,-0.897,0,,,,,,,,,No,No,,No
M 3-1,242.6-11.6,True,post-CE binary PNe (108),Bipolar,0.127,-0.8962,1.0,34,32,38,38,17,16,19,19,Yes ,Yes,14.9,No
CGMW 4-1723,006.2-09.1,True,post-CE binary PNe (108),Elliptical/Oval,0.1298,-0.886,0,,,,,,,,,No,No,,No
Pe 1-9,005.0+03.0,True,post-CE binary PNe (108),Round,0.14,-0.85387,0.0,,,,,,,,,Yes ,Yes,,No
H 2-22,006.3+03.3,True,post-CE binary PNe (108),Bipolar,0.142,-0.847711655616944,0.0,,,,,,,,,No,No,,No
BMP J1800-3407,357.1-05.3,True,post-CE binary PNe (108),Elliptical/Oval,0.145,-0.83863,0.0,,,,,,,,,No,No,,No
Hen 2-155,338.8+05.6,True,post-CE binary PNe (108),Bipolar,0.148,-0.82974,0.0,,,,,,,,,Yes ,Yes,,No
NGC 6778,034.5-06.7,True,post-CE binary PNe (108),Bipolar,0.15,-0.82391,1.0,31,46,54,54,15.5,23,27,27,Yes ,Yes,192,Yes
Th 3-15,358.8+04.0,True,post-CE binary PNe (108),Elliptical/Oval,0.151,-0.82102,0.0,,,,,,,,,No,No,,No
PTB 26,008.3+09.6,True,post-CE binary PNe (108),Bipolar,0.152,-0.81816,0.0,,,,,,,,,No,No,,No
TS01,135.9+55.9,True,post-CE binary PNe (108),Elliptical/Oval,0.163,-0.78781,1.0,43,,,43,21.5,,,21.5,Yes ,No,,No
PHR J1713-2957,355.3+05.2,True,post-CE binary PNe (108),Round,0.167,-0.77728,0.0,,,,,,,,,Yes ,No,,No
PPA J1734-3015,357.5+01.3,Candidate,post-CE binary PNe (108),quasi-Stellar,0.17,-0.76955,0.0,,,,,,,,,No,No,,No
Terz N 1567,002.8+01.8,True,post-CE binary PNe (108),Bipolar,0.171,-0.767,1.0,34,,53,53,17,,26.5,26.5,Yes ,No,,No
NGC 6337,349.3-01.1,True,post-CE binary PNe (108),Bipolar,0.173,-0.76195,1.0,39,35,39.3,39.3,19.5,17.5,19.7,19.7,Yes ,No,50,No
Hen 2-428,049.4+02.4,True,post-CE binary PNe (108),Bipolar,0.176,-0.75449,1.0,24,,28,28,12,,14,14,Yes ,Yes,,Yes
MPA J0705-1224,225.5-02.5,Candidate,post-CE binary PNe (108),Elliptical/Oval,0.1844,-0.734,0,,,,,,,,,No,No,,No
Pa 13,041.4-09.6,True,post-CE binary PNe (108),Elliptical/Oval,0.20,-0.70,0,,,,,,,,,No,No,,No
MPA J1717-2356,000.7+08.0,True,post-CE binary PNe (108),Elliptical/Oval,0.207,-0.68403,0.0,,,,,,,,,NoD,No,,No
PHR J1725-2338,002.0+06.6,True,post-CE binary PNe (108),Elliptical/Oval,0.21,-0.67778,0.0,,,,,,,,,No,No,,No
PPA J1747-3435,355.3-03.2,True,post-CE binary PNe (108),Elliptical/Oval,0.225,-0.64782,0.0,,,,,,,,,No,No,,No
Abell 41,009.6+10.5,True,post-CE binary PNe (108),Bipolar,0.226,-0.64589,1.0,51,,65,65,25.5,,32.5,32.5,Yes ,Yes,,Yes
H 2-29,357.6-03.3,True,post-CE binary PNe (108),Bipolar,0.244,-0.61261,1.0,38,,52,52,19,,26,26,Yes ,Yes,,Yes
PNG283.7-05.1,283.7-05.1,Candidate,post-CE binary PNe (108),Elliptical/Oval,0.25,-0.60206,0.0,,,,,,,,,?,Yes,,No
MA 2,022.5+04.8,True,post-CE binary PNe (108),Elliptical/Oval,0.2596,-0.585,,,,,,,,,,?,No,,No
Th 3-12,356.8+03.3,True,post-CE binary PNe (108),Bipolar,0.264,-0.5784,0.0,,,,,,,,,No,No,,No
PHR J1756-3342,357.0-04.4,True,post-CE binary PNe (108),Elliptical/Oval,0.266,-0.57512,0.0,,,,,,,,,No,No,,No
MGE 359.2412+02.3353,359.2+02.3,Candidate,post-CE binary PNe (108),Elliptical/Oval,0.268,-0.57187,0.0,,,,,,,,,No,No,,No
Kn 51,164.8-09.8,True,post-CE binary PNe (108),Irregular,0.269,-0.570247719997592,0.0,,,,,,,,,No,No,,No
Bl 3-15,000.6-01.3,True,post-CE binary PNe (108),Bipolar,0.27,-0.56864,0.0,,,,,,,,,No,Yes,,No
JaSt 66,359.5-01.2,True,post-CE binary PNe (108),Elliptical/Oval,0.276,-0.55909,0.0,,,,,,,,,No,No,,No
